name,price,rating,generation,gpu,ram,ssd,graphics,display,os,warranty
Acer Nitro V ANV15-41 NH.QPESI.001 Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),"₹75,990",70,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
Colorful XS 22-HD55016512B-G-IND Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹57,990",62,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
Acer Swift Go 14 SFG14-41 NX.KG3SI.006 Laptop (AMD Ryzen 5 7430U / 16GB/ 512GB SSD/ Win11 Pro),"₹39,990",60,7th Gen AMD Ryzen 5 7430U,"Hexa Core, 12 Threads",16 GB  RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
Lenovo LOQ 15IRX9 83DV00LXIN Gaming Laptop (13th Gen Core i7/ 24GB/ 512GB SSD/ Win11/ 8GB RTX4060),"₹1,00,190",72,13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),24 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
Apple MacBook Air 2024 MXCT3HN/A Laptop (Apple M3/ 16GB/ 512GB SSD/ MacOS),"₹1,16,990",51,Apple M3,Octa Core (4P + 4E),16 GB  RAM,512 GB SSD,Apple 10 Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ MacOS),"₹83,990",,Apple M2 Apple M2 Chip,Octa Core,8 GB Unified Memory RAM,512 GB SSD,10-Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
Samsung Galaxy Book 5 Pro np940xha-lg2in Laptop (Intel Core Ultra 7 Series 2/ 16GB/ 512GB SSD/ Win11),"₹1,39,990",70,Intel Core Ultra 7 Series 2 256V,"Octa Core (4P + 4LP-E), 8 Threads",16 GB LPDDR5X RAM,512 GB SSD,Intel Arc 140V GPU,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
Apple MacBook Air M4 2025 15 Laptop (Apple M4/ 24GB/ 512GB SSD/ MacOS),"₹1,64,900",52,Apple M4,10 Cores (4P + 6E),24 GB  RAM,512 GB SSD,Apple 10 Core GPU,"15.3 inches, 2880 x 1864 pixels",Mac OS,1 Year Warranty
Asus Vivobook 16X K3605ZF-RP458WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX2050),"₹59,990",64,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
Acer Aspire 3 A311-45 UN.354SI.002 Laptop (Intel Celeron N4500/ 8GB/ 512GB SSD/ Win11),"₹19,990",,Intel Celeron N4500,"Dual Core, 2 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"11.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
