Brand,Product Name,Discount Price,Actual Price,Ratings
Swiss Military,Cocoon Unisex Laptop Backpack,"₹4,154","₹6,490",
Carriall,Laptop Backpack with Adjustable Straps,"₹1,499","₹1,999",3.1
ADIDAS,Clsc Bos 3S Bp Sports Bag,"₹1,819","₹2,799",5
AMERICAN TOURISTER,Bagpack with Adjustable Shoulder Strap,"₹3,280",,
Wildcraft,Unisex Backpack with Adjustable Straps,"₹2,799",,
Priority,Men Typographic Print Backpack,₹375,"₹1,399",
SUPERDRY,Unisex NYC Montana Brand Print Everyday Backpack,"₹3,849","₹5,499",3.9
NETPLAY,Men Backpack with Adjustable Strap,₹550,"₹1,099",
CONVERSE,Men Everyday Back Pack,"₹5,499",,
Puma,Camouflage Print Everyday Backpack,₹940,"₹1,999",3.8
Priority,Typographic Print Backpack with Adjustable Strap ,₹382,"₹1,299",4.4
REDHORNS,Men Laptop Back Pack,"₹2,500","₹4,999",
CONVERSE,Men Back Pack,"₹4,499",,
Priority,Men Travel Backpack with Adjustable Straps ,₹515,"₹2,599",
Skybags,Men Aura Mini Backpack with Adjustable Strap,₹945,"₹1,350",4.1
Priority,Men Back Pack,₹639,"₹1,999",4.5
Skybags,Men Trible Brand Print Backpack,₹652,"₹1,500",3.8
NETPLAY,Men Backpack with Zipper Pockets,"₹1,299",,
SUPERDRY,Printed Montana Backpack,"₹3,849","₹5,499",4.3
Swiss Military,Elite Unisex Laptop Backpack,"₹3,269","₹5,540",
Priority,Graphic Print Back Pack with Zip-Closure,₹334,"₹1,099",3.3
Wildcraft,Unisex Backpack with Multiple Compartments,"₹2,549","₹3,399",
Lunar's,V-Line 35L Backpack,₹799,"₹1,799",3.9
Puma,Brand Print Backpack,₹980,"₹2,799",
Wildcraft,Men Typographic Print Backpack with Adjustable Straps,"₹1,699",,
Puma,Logo Print Chintz Backpack,"₹1,175","₹2,499",
SUPERDRY,Men Printed Montana Backpack,"₹3,849","₹5,499",4.2
Wildcraft,Unisex Blaze 35 Printed Backpack,"₹1,274","₹1,699",
Priority,Mens Laptop Bag  Pack,₹307,"₹1,199",3.7
Wildcraft,Unisex Wiki Champ2 Disney Print Backpack Bag,₹959,"₹1,599",
Priority,Mens Laptop Bag  Pack,₹471,"₹1,599",
NIKE,Backpack with Branding,"₹1,696","₹1,995",4.7
Skybags,Men Mickey Mouse Print Backpack,₹550,"₹2,198",3.9
F-GEAR,"Men 17"" Laptop Backpack",₹832,"₹1,980",4.4
SUPERDRY,Code Montana Everyday Backpack,"₹4,799","₹7,999",4.8
Priority,Typographic Print Backpack with Adjustable Strap ,₹382,"₹1,299",
MaheTri,Men Strappy Backpack with Padded Laptop Sleeve,"₹5,000","₹10,000",
YOUSTA,Men Travel Sling Bag with Zip Closure,₹199,,4.2
YOUSTA,"Men 16"" Laptop Backpack",₹999,,
Priority,Typographic Print Backpack with Adjustable Strap ,₹289,"₹1,499",3
YOUSTA,Men Small Travel Bag with Zip Closure,₹99,,3.3
ADIDAS,Lin Clas Bp Day Sports Bag,"₹1,079","₹1,999",3
NIKE,Men Printed Backpack with Adjustable Strap,"₹2,307","₹3,295",4.2
MUJI,Less Tiring Water-Repellent Backpack,"₹3,490",,3.6
MUJI,Less Tiring Water Repellent Backpack,"₹3,690",,4.5
REDHORNS,Men Geometric Print Everyday Backpack,"₹1,880","₹3,999",
Skybags,Men Klan Typographic Print Backpack,"₹1,470","₹2,100",4.1
Swiss Military,Blizzard Unisex Laptop Backpack,"₹4,474","₹6,990",
Puma,Men Backpack with Adjustable Straps,"₹2,999",,
Priority, Man Regular Fit  Back Pack,₹429,"₹1,799",
Skybags,Men Grad Pro Striped Laptop Backpack,"₹1,960","₹2,800",4.2
Priority,Mens Laptop Bag  Pack,₹375,"₹1,399",4.8
Priority,Mens Laptop Bag  Pack,₹831,"₹2,399",
Wildcraft,Unisex Backpack with Adjustable Straps,"₹3,999",,
Wildcraft,Unisex Laptop Back Pack,"₹1,899",,
ADIDAS,Clsc Bos Bp Sports Backpack,"₹1,875","₹2,799",
Wildcraft,Unisex Rock & Ice 40 Rucksack,"₹3,399",,
Priority,Mens Laptop Bag  Pack,₹639,"₹1,999",4.5
Priority,Others Back Pack,₹333,₹975,
SPYKAR,Everyday Back Pack with Laptop Compartment,"₹1,500","₹2,999",3.4
Priority,Men Others Back Pack,₹429,"₹1,799",2.5
ARMANI EXCHANGE,Logo Backpack with Side Pockets,"₹9,500","₹18,999",
Wildcraft,Unisex Graphic Print Backpack with Adjustable Straps,"₹2,299",,
POLICE,Backpack with Adjustable Straps ,"₹1,924","₹3,499",3.2
Wildcraft,Men Trailblazer 60 Rucksack,"₹5,999",,
G STAR RAW,Backpack with Adjustable Straps,"₹2,700","₹8,999",4
Wildcraft,Men Travel Pro 50 Rucksack,"₹2,999",,
Priority,Men Backpack with Zip Closure & Adjustable Strap,₹501,"₹1,380",3
Priority,Men Others Back Pack,₹471,"₹1,599",3.8
MUJI,Less Tiring Water-Repellent Toploader Backpack,"₹5,490",,
Skybags,Men Klan Pro Graphic Print Backpack,"₹1,820","₹2,600",
Skybags,Men Typographic Print Rucksack Bag with Adjustable Strap,"₹1,054","₹3,400",3.8
Priority,Men Travel Backpack with Adjustable Straps ,₹515,"₹2,599",
Priority,Men Others Back Pack,₹391,"₹1,199",4.1
Priority,Men Others Back Pack,₹375,"₹1,399",3.4
Priority, Man Regular Fit Back Pack,₹831,"₹2,399",3.5
Priority,Typographic Print Backpack with Adjustable Strap ,₹382,"₹1,299",
French Accent,Men Leather Backpack with Adjustable Strap ,"₹2,393","₹6,298",3.3
Wildcraft,Men Backpack with Multiple Compartments,"₹2,722","₹3,629",
Priority,Men Back Pack,₹375,"₹1,399",
Wildcraft,Men Backpack with Multiple Compartments,"₹2,774","₹3,699",
Priority,College Back Pack,₹429,"₹1,799",4.3
BAD HABIT,Textured Backpack with Adjustable Shoulder Straps,"₹2,999",,
SPYKAR,Adjustable Straps Everyday Backpack,"₹2,500","₹4,999",4.5
Priority,Men Camouflage Print Rucksack with Adjustable Straps,₹611,"₹2,299",
Priority,Back Pack with Adjustable Shoulder Strap,₹499,"₹1,999",
Priority,Girls Everyday Back Pack,₹471,"₹1,599",3.8
Wildcraft,Men Back Pack with Adjustable Straps,"₹2,699",,
Wildcraft,Unisex Laptop Back Pack,"₹2,999",,
NIKE,"Men Brand Print 15"" Laptop Backpack","₹1,496","₹1,995",1
NIKE,Men Hayward Swsh Grid Backpack,"₹3,596","₹3,995",
Priority,Mens Laptop Bag  Pack,₹471,"₹1,599",
Lunar's,Heritage Geometric Print Backpack,₹799,"₹1,699",3.6
Skybags,Men Xylo Plus Laptop Backpack,"₹2,156","₹4,400",4.2
F-GEAR,Men Printed Backpack,₹694,"₹1,780",4
Wildcraft,Men Backpack with Multiple Compartments,"₹2,249","₹2,999",
